date	weekly average ssn
05/11/74	43.28571
05/18/74	74.28571
05/25/74	28.71429
06/01/74	31.14286
06/08/74	95.28571
06/15/74	41.28571
06/22/74	3.42857
06/29/74	14
07/06/74	51
07/13/74	53.85714
07/20/74	28.28571
07/27/74	12
08/03/74	63.42857
08/10/74	59
08/17/74	42.28571
08/24/74	55.14286
08/31/74	46.14286
09/07/74	23.14286
09/14/74	58
09/21/74	41.42857
09/28/74	17.85714
10/05/74	18.85714
10/12/74	58.71429
10/19/74	65.85714
10/26/74	12.28571
11/02/74	42.57143
11/09/74	90
11/16/74	65.42857
11/23/74	10.14286
11/30/74	20.14286
12/07/74	30.28571
12/14/74	17.14286
12/21/74	26.85714
12/28/74	30.71429
01/04/75	8
01/11/75	10.85714
01/18/75	36.42857
01/25/75	26.85714
02/01/75	19.42857
02/08/75	26.14286
02/15/75	24.85714
02/22/75	18
03/01/75	6
03/08/75	16.85714
03/15/75	20.42857
03/23/75	4.42857
03/30/75	4.14286
04/06/75	9.14286
04/13/75	16.14286
04/20/75	22.14286
04/27/75	2.28571
05/04/75	1.14286
05/11/75	6.57143
05/18/75	0
05/26/75	2.14286
06/02/75	17
06/09/75	23.28571
06/16/75	3.14286
06/23/75	3.42857
06/30/75	5
07/08/75	6.85714
07/15/75	2.28571
07/22/75	10.14286
07/29/75	13.71429
08/05/75	26
08/12/75	21.85714
08/19/75	36.85714
08/26/75	28.85714
09/02/75	28.42857
09/09/75	70.85714
09/16/75	65
09/23/75	20.71429
09/30/75	12
10/07/75	18.57143
10/14/75	19
10/21/75	15.14286
10/28/75	13.28571
11/04/75	4.28571
11/11/75	11
11/18/75	16
11/26/75	9.14286
12/03/75	1
12/10/75	10.57143
12/17/75	27.85714
12/24/75	31.28571
12/31/75	13.28571
01/07/76	10.42857
01/14/76	12.14286
01/21/76	5.42857
01/28/76	5.57143
02/04/76	1.14286
02/11/76	0
02/18/76	14.28571
02/25/76	17
03/03/76	3.57143
03/10/76	1.14286
03/17/76	0
03/24/76	13
03/31/76	3.85714
04/07/76	1
04/14/76	9.14286
04/21/76	21.14286
04/28/76	35
05/05/76	35
05/12/76	11.14286
05/19/76	15
05/26/76	26
06/02/76	20.57143
06/09/76	21.28571
06/16/76	13.28571
06/23/76	17.85714
06/30/76	7.14286
07/07/76	0
07/14/76	3.85714
07/21/76	12.71429
07/28/76	25
08/04/76	12.14286
08/11/76	7.28571
08/18/76	0
08/25/76	0
09/01/76	0
09/08/76	10.28571
09/15/76	24.42857
09/22/76	18.57143
09/29/76	13.28571
10/06/76	11.42857
10/13/76	12.28571
10/20/76	17.71429
10/27/76	4.28571
11/03/76	18.42857
11/10/76	28.14286
11/17/76	10.57143
11/24/76	23.14286
12/01/76	26
12/08/76	3.28571
12/15/76	0
12/22/76	6.85714
12/29/76	10.85714
01/05/77	4.71429
01/12/77	6.85714
01/19/77	24.42857
01/26/77	15.42857
02/02/77	19.28571
02/09/77	21.57143
02/16/77	8.42857
02/23/77	18.14286
03/02/77	20.28571
03/09/77	13.57143
03/16/77	17.14286
03/23/77	49.42857
03/30/77	15.85714
04/06/77	4.57143
04/13/77	13.14286
04/20/77	8
04/27/77	3.71429
05/04/77	11.28571
05/11/77	8.14286
05/18/77	8.28571
05/25/77	25
06/01/77	11.14286
06/08/77	15.85714
06/15/77	24.28571
06/22/77	20.28571
06/29/77	7.57143
07/06/77	29.42857
07/13/77	40.42857
07/20/77	19.85714
07/27/77	29.71429
08/03/77	62.71429
08/10/77	39
08/17/77	13.42857
08/24/77	3.28571
08/31/77	34
09/07/77	15.57143
09/14/77	25.71429
09/21/77	37.85714
09/28/77	28.28571
10/05/77	33.85714
10/12/77	24.57143
10/19/77	44.85714
10/26/77	55.42857
11/02/77	51.85714
11/09/77	48.14286
11/16/77	44
11/23/77	52
11/30/77	33.14286
12/07/77	40.71429
12/14/77	27.28571
12/21/77	35.85714
12/28/77	35.14286
01/04/78	13.57143
01/11/78	44.85714
01/18/78	55.42857
01/25/78	29.14286
02/01/78	40.42857
02/08/78	87.57143
02/15/78	38.57143
02/22/78	25.57143
03/01/78	31.71429
03/08/78	100.57143
03/15/78	121
03/22/78	90.85714
03/29/78	63.28571
04/05/78	91.71429
04/12/78	90.71429
04/19/78	78.71429
04/26/78	74.42857
05/03/78	59
05/10/78	75.42857
05/17/78	111.14286
05/24/78	100.57143
05/31/78	114.85714
06/07/78	85
06/14/78	71
06/21/78	79.71429
06/28/78	78.28571
07/05/78	102.85714
07/12/78	57.42857
07/19/78	57
07/26/78	120.28571
08/02/78	141
08/09/78	63.42857
08/16/78	109.14286
08/23/78	93.71429
08/30/78	38
09/06/78	40.28571
09/13/78	64.71429
09/20/78	70.57143
09/27/78	40.14286
10/04/78	63.57143
10/11/78	160.71429
10/18/78	98.42857
10/25/78	151.57143
11/01/78	150.71429
11/08/78	100.28571
11/15/78	122.57143
11/22/78	155.28571
11/29/78	119.71429
12/06/78	119.85714
12/13/78	117.28571
12/20/78	91.57143
12/27/78	78
01/03/79	99.57143
01/10/79	116.57143
01/17/79	159.57143
01/24/79	115.42857
01/31/79	84.71429
02/07/79	162.14286
02/14/79	162.71429
02/21/79	159.85714
02/28/79	187.57143
03/07/79	149.28571
03/14/79	134.28571
03/21/79	146.71429
03/28/79	164.85714
04/04/79	104.28571
04/11/79	141.28571
04/18/79	156.42857
04/25/79	136.71429
05/02/79	119.85714
05/09/79	132.71429
05/16/79	82
05/23/79	107
05/30/79	80.85714
06/06/79	118
06/13/79	137
06/20/79	178.57143
06/27/79	119.28571
07/04/79	114.85714
07/11/79	179
07/18/79	193.57143
07/25/79	116.14286
08/01/79	112.28571
08/08/79	180
08/15/79	192.14286
08/22/79	121.42857
08/29/79	149.14286
09/05/79	133
09/12/79	112.14286
09/19/79	102.28571
09/26/79	181.42857
10/03/79	179.57143
10/10/79	151
10/17/79	175.28571
10/24/79	177.71429
10/31/79	226.57143
11/07/79	204.28571
11/14/79	182.28571
11/21/79	203.42857
11/28/79	189.71429
12/05/79	177.71429
12/12/79	196.14286
12/19/79	244.42857
12/26/79	163.28571
01/02/80	133.14286
01/09/80	176.71429
01/16/80	250.28571
01/23/80	180.71429
01/30/80	119
02/06/80	136
02/13/80	207.42857
02/20/80	181.57143
02/27/80	121.57143
03/05/80	130.71429
03/12/80	192.42857
03/19/80	151.71429
03/26/80	134.85714
04/02/80	137.14286
04/09/80	154.14286
04/16/80	85.85714
04/23/80	73.28571
04/30/80	161.57143
05/07/80	173.42857
05/14/80	184.57143
05/21/80	201.85714
05/28/80	128.14286
06/04/80	142.14286
06/11/80	156.57143
06/18/80	151.57143
06/25/80	208.71429
07/02/80	221.28571
07/09/80	140.42857
07/16/80	158.42857
07/23/80	143
07/30/80	184.85714
08/06/80	132.14286
08/13/80	90.42857
08/20/80	141.14286
08/27/80	208.14286
09/03/80	120
09/10/80	65.71429
09/17/80	152.14286
09/24/80	184.14286
10/01/80	121
10/08/80	205
10/15/80	142.14286
10/22/80	107
10/29/80	153.14286
11/05/80	174.57143
11/12/80	138
11/19/80	231.71429
11/26/80	151.85714
12/03/80	141.57143
12/10/80	200.28571
12/17/80	151.28571
12/24/80	112
12/31/80	128.71429
01/07/81	159
01/14/81	128.42857
01/21/81	201.57143
01/28/81	179
02/04/81	193.71429
02/11/81	106.28571
02/18/81	118.57143
02/25/81	85.14286
03/04/81	129.28571
03/11/81	141.42857
03/18/81	156.71429
03/25/81	132.42857
04/01/81	128.42857
04/08/81	167.28571
04/15/81	132.57143
04/22/81	113.14286
04/29/81	131.28571
05/06/81	151.14286
05/13/81	160.42857
05/20/81	196.85714
05/27/81	172.57143
06/03/81	94.28571
06/10/81	154
06/17/81	162
06/24/81	112.42857
07/01/81	97.85714
07/08/81	70
07/15/81	57.85714
07/22/81	101
07/29/81	101.28571
08/05/81	138.71429
08/12/81	91.71429
08/19/81	139.57143
08/26/81	148.71429
09/02/81	193.71429
09/09/81	116.28571
09/16/81	127.28571
09/23/81	151.85714
09/30/81	206.57143
10/07/81	200.71429
10/14/81	197.71429
10/21/81	139.71429
10/28/81	151
11/04/81	181.14286
11/11/81	190.57143
11/18/81	163.57143
11/25/81	187.71429
12/02/81	102.57143
12/09/81	195.28571
12/16/81	166
12/23/81	128.85714
12/30/81	68.71429
01/06/82	160.28571
01/13/82	238.42857
01/20/82	158
01/27/82	72
02/03/82	110.28571
02/10/82	99.85714
02/17/82	69.57143
02/24/82	116.85714
03/03/82	111.14286
03/10/82	230.85714
03/17/82	208.14286
03/24/82	132.57143
03/31/82	113
04/07/82	163.85714
04/14/82	138.71429
04/21/82	155.28571
04/28/82	149.14286
05/05/82	159.42857
05/12/82	127.57143
05/19/82	137.14286
05/26/82	100.14286
06/02/82	126.14286
06/09/82	61.42857
06/16/82	67
06/23/82	80.85714
06/30/82	110.14286
07/07/82	91
07/14/82	122
07/21/82	135.28571
07/28/82	132
08/04/82	55.85714
08/11/82	37.42857
08/18/82	170.14286
08/25/82	209.71429
09/01/82	31.28571
09/08/82	66.71429
09/15/82	147.57143
09/22/82	99.14286
09/29/82	85
10/06/82	126.28571
10/13/82	135.57143
10/20/82	98.85714
10/27/82	107
11/03/82	133.42857
11/10/82	111
11/17/82	80.28571
11/24/82	63.42857
12/01/82	126.28571
12/08/82	87.57143
12/15/82	97.57143
12/22/82	105.42857
12/29/82	114.71429
01/05/83	84.14286
01/12/83	155.85714
01/19/83	167
01/26/83	90.42857
02/02/83	108.71429
02/09/83	71
02/16/83	96.28571
02/23/83	88.57143
03/02/83	70.14286
03/09/83	96.42857
03/16/83	63.85714
03/23/83	17.57143
03/30/83	37
04/06/83	87.28571
04/13/83	81.14286
04/20/83	42.57143
04/27/83	76.42857
05/04/83	53.28571
05/11/83	55.14286
05/18/83	63.42857
05/25/83	76
06/01/83	111.28571
06/08/83	110.14286
06/15/83	102.42857
06/22/83	109.42857
06/29/83	104.28571
07/06/83	71.71429
07/13/83	86.71429
07/20/83	80.14286
07/27/83	110.42857
08/03/83	94.28571
08/10/83	72.42857
08/17/83	76.71429
08/24/83	97.85714
08/31/83	78
09/07/83	105.57143
09/14/83	68.28571
09/21/83	88.57143
09/28/83	47.71429
10/05/83	53.14286
10/12/83	69.42857
10/19/83	52
10/26/83	37
11/02/83	46
11/09/83	55.71429
11/16/83	110.14286
11/23/83	58.28571
11/30/83	18.85714
12/07/83	19.71429
12/14/83	71.85714
12/21/83	37.28571
12/28/83	13.14286
01/04/84	13.57143
01/11/84	28.14286
01/18/84	66.14286
01/25/84	29.85714
02/01/84	17
02/08/84	14.85714
02/15/84	42.42857
02/22/84	47.85714
02/29/84	79
03/07/84	98.71429
03/14/84	79.71429
03/21/84	91.57143
03/28/84	72.28571
04/04/84	93.28571
04/11/84	61
04/18/84	74.57143
04/25/84	99.28571
05/02/84	93
05/09/84	92.42857
05/16/84	35.71429
05/23/84	55.14286
05/30/84	79.14286
06/06/84	105.71429
06/13/84	51.85714
06/20/84	98.28571
06/27/84	75
07/04/84	74.85714
07/11/84	36.85714
07/18/84	36.42857
07/25/84	63.57143
08/01/84	47.71429
08/08/84	53.42857
08/15/84	63.85714
08/22/84	28.85714
08/29/84	24.28571
09/05/84	12.71429
09/12/84	25.71429
09/19/84	27.42857
09/26/84	14.71429
10/03/84	35.42857
10/10/84	47.85714
10/17/84	13
10/24/84	4.28571
10/31/84	6
11/07/84	6.42857
11/14/84	9.28571
11/21/84	16.71429
11/28/84	14.71429
12/05/84	9.57143
12/12/84	10.71429
12/19/84	18
12/26/84	21.14286
01/02/85	42.71429
01/09/85	19.42857
01/16/85	23.14286
01/23/85	20.28571
01/30/85	15.42857
02/06/85	7.28571
02/13/85	3.57143
02/20/85	19.28571
02/27/85	41.28571
03/06/85	9
03/13/85	18.57143
03/20/85	15.14286
03/27/85	16.57143
04/03/85	13.28571
04/10/85	5
04/17/85	14.28571
04/24/85	17.28571
05/01/85	28.42857
05/08/85	23.28571
05/15/85	10.14286
05/22/85	2.85714
05/29/85	23.28571
06/05/85	25.85714
06/12/85	27.71429
06/19/85	36.85714
06/26/85	36.85714
07/03/85	14.14286
07/10/85	18.14286
07/17/85	49.28571
07/24/85	22.85714
07/31/85	10.42857
08/07/85	19.71429
08/14/85	63.42857
08/21/85	16.85714
08/28/85	11.71429
09/04/85	33.28571
09/11/85	19.57143
09/18/85	7.57143
09/25/85	9.71429
10/02/85	5
10/09/85	3.42857
10/16/85	1
10/23/85	9.14286
10/30/85	3.42857
11/06/85	2
11/13/85	0
11/20/85	11.85714
11/27/85	49.57143
12/04/85	21
12/11/85	7.71429
12/18/85	24
12/25/85	34.71429
01/01/86	3.14286
01/08/86	6.71429
01/15/86	17.28571
01/22/86	45.14286
01/29/86	7.42857
02/05/86	0
02/12/86	0
02/19/86	7.42857
02/26/86	0
03/05/86	2.42857
03/12/86	38.28571
03/19/86	38.85714
03/26/86	5.28571
04/02/86	10.42857
04/09/86	27.28571
04/16/86	21.14286
04/23/86	3.14286
04/30/86	11.85714
05/07/86	9.14286
05/14/86	2.57143
05/21/86	17.85714
05/28/86	26.57143
06/04/86	30.28571
06/11/86	9
06/18/86	1.42857
06/25/86	22.57143
07/02/86	22
07/09/86	4.57143
07/16/86	2.42857
07/23/86	0
07/30/86	1.14286
08/06/86	1.57143
08/13/86	24.57143
08/20/86	28.28571
08/27/86	14.57143
09/03/86	11.14286
09/10/86	10.57143
09/17/86	2.42857
09/24/86	5.71429
10/01/86	10.14286
10/08/86	8.71429
10/15/86	8.85714
10/22/86	0
10/29/86	0
11/05/86	6.14286
11/12/86	24.57143
11/19/86	15.85714
11/26/86	40.42857
12/03/86	65
12/10/86	38.42857
12/17/86	11.57143
12/24/86	12
12/31/86	9.14286
01/07/87	1.14286
01/14/87	7.85714
01/21/87	11.28571
01/28/87	9.28571
02/04/87	4.28571
02/11/87	10.28571
02/18/87	2.42857
02/25/87	11.14286
03/04/87	16
03/11/87	3.57143
03/18/87	1
03/25/87	2.14286
04/01/87	4.28571
04/08/87	15.28571
04/15/87	14.71429
04/22/87	12.42857
04/29/87	15.71429
05/06/87	13.14286
05/13/87	41
05/20/87	75.85714
05/27/87	26.85714
06/03/87	22.28571
06/10/87	30.57143
06/17/87	22.42857
06/24/87	51.85714
07/01/87	35.14286
07/08/87	10
07/15/87	3
07/22/87	15.14286
07/29/87	30.71429
08/05/87	23.85714
08/12/87	4.85714
08/19/87	5.85714
08/26/87	49.71429
09/02/87	74.85714
09/09/87	41.42857
09/16/87	45.71429
09/23/87	48.28571
09/30/87	35.57143
10/07/87	24.85714
10/14/87	52.42857
10/21/87	31
10/28/87	29.85714
11/04/87	21.57143
11/11/87	44.28571
11/18/87	69.14286
11/25/87	78.57143
12/02/87	50.71429
12/09/87	58.57143
12/16/87	32.28571
12/23/87	34.42857
12/30/87	56.85714
01/06/88	16.71429
01/13/88	29
01/20/88	28.85714
01/27/88	23
02/03/88	32
02/10/88	36.57143
02/17/88	70.85714
02/24/88	78.42857
03/02/88	50.71429
03/09/88	63.57143
03/16/88	43.57143
03/23/88	32.85714
03/30/88	30.57143
04/06/88	49.14286
04/13/88	59.85714
04/20/88	58.57143
04/27/88	85.57143
05/04/88	104.14286
05/11/88	83.71429
05/18/88	115
05/25/88	122.57143
06/01/88	43.71429
06/08/88	74.14286
06/15/88	67.42857
06/22/88	42.71429
06/29/88	40
07/06/88	81.42857
07/13/88	134.28571
07/20/88	82.14286
07/27/88	81.14286
08/03/88	111.42857
08/10/88	126.42857
08/17/88	100.14286
08/24/88	115.14286
08/31/88	96.14286
09/07/88	147.14286
09/14/88	143.57143
09/21/88	101.28571
09/28/88	45.71429
10/05/88	142.28571
10/12/88	118.14286
10/19/88	84.71429
10/26/88	123.85714
11/02/88	153.28571
11/09/88	120.28571
11/16/88	142.42857
11/23/88	122.71429
11/30/88	116.28571
12/07/88	119.14286
12/14/88	115.28571
12/21/88	161.85714
12/28/88	134.71429
01/04/89	91.14286
01/11/89	132.57143
01/18/89	172.42857
01/25/89	226.57143
02/01/89	193.71429
02/08/89	156
02/15/89	179.57143
02/22/89	170.14286
03/01/89	144.85714
03/08/89	154.28571
03/15/89	145.14286
03/22/89	201.57143
03/29/89	161.42857
04/05/89	144.85714
04/12/89	104.85714
04/19/89	164.71429
04/26/89	156.14286
05/03/89	109.57143
05/10/89	116.71429
05/17/89	132
05/24/89	137
05/31/89	140
06/07/89	99.85714
06/14/89	121.85714
06/21/89	143.85714
06/28/89	179.85714
07/05/89	134.28571
07/12/89	150.28571
07/19/89	221.28571
07/26/89	220.28571
08/02/89	207.14286
08/09/89	129
08/16/89	124.71429
08/23/89	114
08/30/89	153.14286
09/06/89	143.42857
09/13/89	215.85714
09/20/89	195.14286
09/27/89	175
10/04/89	82
10/11/89	201.57143
10/18/89	262
10/25/89	157.28571
11/01/89	96
11/08/89	160.71429
11/15/89	176.14286
11/22/89	179.14286
11/29/89	136.57143
12/06/89	138.57143
12/13/89	220.28571
12/20/89	157.71429
12/27/89	143
01/03/90	175.85714
01/10/90	194
01/17/90	126.57143
01/24/90	113.85714
01/31/90	208.71429
02/07/90	190
02/14/90	142.57143
02/21/90	164
02/28/90	208.14286
03/07/90	194.57143
03/14/90	107.42857
03/21/90	82.14286
03/28/90	112.28571
04/04/90	220.57143
04/11/90	122.14286
04/18/90	84.57143
04/25/90	177.71429
05/02/90	176.57143
05/09/90	119.57143
05/16/90	104.14286
05/23/90	174.42857
05/30/90	176.28571
06/06/90	89.28571
06/13/90	113
06/20/90	146.42857
06/27/90	177.42857
07/04/90	121.28571
07/11/90	87.57143
07/18/90	110.57143
07/25/90	85.57143
08/01/90	106.28571
08/08/90	239.42857
08/15/90	128.57143
08/22/90	90
08/29/90	159
09/05/90	152.28571
09/12/90	134.42857
09/19/90	193.71429
09/26/90	277.85714
10/03/90	212.85714
10/10/90	126.71429
10/17/90	120
10/24/90	152.14286
10/31/90	110.42857
11/07/90	120.42857
11/14/90	145.57143
11/21/90	198.14286
11/28/90	145.14286
12/05/90	95.85714
12/12/90	157.57143
12/19/90	145.57143
12/26/90	106.14286
01/02/91	120.85714
01/09/91	163.14286
01/16/91	160.28571
01/23/91	109.71429
01/30/91	101.57143
02/06/91	107.42857
02/13/91	101.85714
02/20/91	129
02/27/91	116
03/06/91	213.71429
03/13/91	156.71429
03/20/91	144.28571
03/27/91	183.71429
04/03/91	185.14286
04/10/91	86.71429
04/17/91	157.71429
04/24/91	173.42857
05/01/91	153.85714
05/08/91	119.14286
05/15/91	166.14286
05/22/91	199
05/29/91	96
06/05/91	102
06/12/91	107.14286
06/19/91	127.71429
06/26/91	115.57143
07/03/91	140.28571
07/10/91	170.57143
07/17/91	215.14286
07/24/91	149
07/31/91	138.71429
08/07/91	201.57143
08/14/91	194.71429
08/21/91	115.42857
08/28/91	172.42857
09/04/91	178.42857
09/11/91	130
09/18/91	108.57143
09/25/91	273.28571
10/02/91	200.14286
10/09/91	158.14286
10/16/91	126.42857
10/23/91	114.57143
10/30/91	112.57143
11/06/91	141
11/13/91	138.42857
11/20/91	130.71429
11/27/91	97.85714
12/04/91	205.42857
12/11/91	141.57143
12/18/91	119.28571
12/25/91	84
01/01/92	92.42857
01/08/92	107.57143
01/15/92	182.85714
01/22/92	147.57143
01/29/92	123.85714
02/05/92	144.71429
02/12/92	188
02/19/92	132.14286
02/26/92	105.14286
03/04/92	166
03/11/92	197
03/18/92	166.71429
03/25/92	112
04/01/92	171.28571
04/08/92	131.42857
04/15/92	109.71429
04/22/92	103.28571
04/29/92	100.71429
05/06/92	108.28571
05/13/92	63
05/20/92	72
05/27/92	151.57143
06/03/92	112.85714
06/10/92	89
06/17/92	78.14286
06/24/92	61.85714
07/01/92	82.85714
07/08/92	45.57143
07/15/92	71.57143
07/22/92	73.14286
07/29/92	64.28571
08/05/92	60.14286
08/12/92	79
08/19/92	141.57143
08/26/92	83.14286
09/02/92	47.71429
09/09/92	85.28571
09/16/92	74.28571
09/23/92	77.57143
09/30/92	35.71429
10/07/92	40.57143
10/14/92	48.28571
10/21/92	69.85714
10/28/92	69.85714
11/04/92	77.85714
11/11/92	103.42857
11/18/92	54.42857
11/25/92	78.71429
12/02/92	118.14286
12/09/92	89
12/16/92	83.14286
12/23/92	85
12/30/92	108
01/06/93	80.14286
01/13/93	63.57143
01/20/93	111.28571
01/27/93	89.14286
02/03/93	76.14286
02/10/93	59
02/17/93	90.42857
02/24/93	58.85714
03/03/93	39.57143
03/10/93	45.28571
03/17/93	119.57143
03/24/93	82.85714
03/31/93	93.71429
04/07/93	84.71429
04/14/93	89.71429
04/21/93	63.57143
04/28/93	62.57143
05/05/93	55.42857
05/12/93	76.14286
05/19/93	44.14286
05/26/93	61
06/02/93	70.28571
06/09/93	52.28571
06/16/93	98.28571
06/23/93	35.71429
06/30/93	39.57143
07/07/93	95.14286
07/14/93	65.71429
07/21/93	16.42857
07/28/93	29.85714
